iter,run,tensor,layer,wmax,wrms
68000,cont4b,mlp.linear_fc1,55,0.632812,0.042353
68000,cont4b,mlp.linear_fc1,56,0.804688,0.0424931
68000,cont4b,mlp.linear_fc1,57,0.683594,0.0424892
68000,cont4b,mlp.linear_fc1,58,0.753906,0.0423029
68000,cont4b,mlp.linear_fc1,59,0.75,0.0418536
68000,cont4b,mlp.linear_fc1,60,0.691406,0.0411206
68000,cont4b,mlp.linear_fc1,61,0.605469,0.0396488
68000,cont4b,mlp.linear_fc1,62,0.486328,0.0371709
68000,cont4b,mlp.linear_fc1,63,0.800781,0.0356681
68000,cont4b,self_attention.linear_qkv,0,0.345703,0.0370629
68000,cont4b,self_attention.linear_qkv,1,0.570312,0.037682
68000,cont4b,self_attention.linear_qkv,2,0.777344,0.0406031
68000,cont4b,self_attention.linear_qkv,3,0.789062,0.0416863
68000,cont4b,self_attention.linear_qkv,4,0.628906,0.0407554
68000,cont4b,self_attention.linear_qkv,5,0.835938,0.0409254
68000,cont4b,self_attention.linear_qkv,6,0.542969,0.0421477
68000,cont4b,self_attention.linear_qkv,7,0.542969,0.0414
68000,cont4b,self_attention.linear_qkv,8,0.609375,0.0412198
68000,cont4b,self_attention.linear_qkv,9,0.605469,0.0400866
68000,cont4b,self_attention.linear_qkv,10,0.480469,0.0396001
68000,cont4b,self_attention.linear_qkv,11,0.511719,0.0397553
68000,cont4b,self_attention.linear_qkv,12,0.546875,0.0389389
68000,cont4b,self_attention.linear_qkv,13,0.535156,0.0385326
68000,cont4b,self_attention.linear_qkv,14,0.585938,0.0373986
68000,cont4b,self_attention.linear_qkv,15,0.507812,0.0383108
68000,cont4b,self_attention.linear_qkv,16,0.542969,0.0386415
68000,cont4b,self_attention.linear_qkv,17,0.457031,0.0394913
68000,cont4b,self_attention.linear_qkv,18,0.412109,0.0396634
68000,cont4b,self_attention.linear_qkv,19,0.550781,0.0405696
68000,cont4b,self_attention.linear_qkv,20,0.414062,0.0390523
68000,cont4b,self_attention.linear_qkv,21,0.419922,0.0383036
68000,cont4b,self_attention.linear_qkv,22,0.503906,0.0413641
68000,cont4b,self_attention.linear_qkv,23,0.554688,0.0398687
68000,cont4b,self_attention.linear_qkv,24,0.515625,0.0387362
68000,cont4b,self_attention.linear_qkv,25,0.445312,0.0369127
68000,cont4b,self_attention.linear_qkv,26,0.449219,0.0364577
68000,cont4b,self_attention.linear_qkv,27,0.455078,0.0395688
68000,cont4b,self_attention.linear_qkv,28,0.554688,0.0356889
68000,cont4b,self_attention.linear_qkv,29,0.542969,0.0365197
